ADRNo;SOC;SOCCode: System Organ Class;HLT:Higher Level Term;HLTCode;PT: Preffered Term;PTCode;LLT: Lower Level Term;LLTCode
0001/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
0002/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (parvovirus);2552
0005/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0005/19;Digestive tract disorders;5;Other digestive tract disorders;35;Digestive tract haemorrhage NOS;188;Blood in faeces;1081
0005/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Pneumonitis;973;Pneumonitis;2258
0005/19;Systemic disorders;19;Death;151;Death;592;Death;984
0007/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy;1039
0007/19;Systemic disorders;19;Death;151;Death;592;Death by euthanasia;981
0008/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site hair loss;3
0008/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site scratching;26
0009/19;Systemic disorders;19;Lack of efficacy;155;Lack of efficacy;614;Lack of efficacy (flea);2649
0009/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Scratching;959
0010/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0011/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Falling;651
0011/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Tachycardia;192
0011/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Tachypnoea;854
0011/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Ataxia;654
0011/19;Neurological disorders;14;Neuromuscular disorders;101;Nystagmus;414;Nystagmus;691
0011/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Balance impaired;1341
0012/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Pruritus;960
0013/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Dermatitis and eczema;938;Rash;939
0014/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
0015/19;Immune system disorders;10;Allergic conditions;72;Allergic oedema;320;Facial swelling (see also 'Skin');517
0015/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Self trauma;125
0015/19;Eye disorders;8;Other eye disorders;62;Periorbital oedema;285;Swollen eye;1810
0015/19;Skin and appendages disorders;18;Epidermal and dermal disorders;237;Pruritus;577;Itching;958
0015/19;Behavioural disorders;2;Other behavioural disorders;6;Anxiety;70;Distress;114
0016/19;Skin and appendages disorders;18;Skin and subcutaneous tissue disorders;238;Skin haemorrhage;848;Ecchymosis;2038
0016/19;Blood and lymphatic system disorders;3;Coagulation abnormalities;13;Other coagulation abnormality;90;Skin petechiae;1205
0016/19;Investigations;34;Thrombocyte investigations;248;Thrombocytopenia;95;Low platelet count;161
0017/19;Respiratory tract disorders;17;Respiratory tract disorders;138;Cough;532;Cough;884
0017/19;Systemic disorders;19;General signs or symptoms;154;Weight loss;946;Weight loss;1043
0017/19;Investigations;34;Abnormal imaging;266;Abnormal radiograph finding;1091;Abnormal radiograph finding;2070
0017/19;Cardio-vascular system disorders;4;Cardiac rhythm disorders;21;Tachycardia;122;Increased heart rate;193
0017/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Tachypnoea;515;Increased respiratory rate;856
0017/19;Respiratory tract disorders;17;Bronchial and lung disorders;132;Rale;514;Crackles on auscultation;2140
0017/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0018/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Listless;1022
0018/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Anorexia;996
0018/19;Systemic disorders;19;General signs or symptoms;154;Hyperthermia;604;Pyrexia;1031
0018/19;Digestive tract disorders;5;Intestinal disorders;236;Intestinal stasis;628;Constipation;267
0018/19;Renal and urinary disorders;15;Renal disorders;107;Oliguria;670;Oliguria;711
0019/19;Musculoskeletal disorders;13;Musculoskeletal disorders;90;Musculoskeletal disorder NOS;640;Stiffness NOS;1794
0019/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Dull;2274
0019/19;Neurological disorders;14;Coordination and balance signs;98;Ataxia;400;Ataxia;654
0020/19;Digestive tract disorders;5;Other digestive tract disorders;35;Diarrhoea;186;Diarrhoea;302
0021/19;Investigations;34;Investigations NOS;259;Elevated serum alkaline phosphatase (SAP);1100;Elevated SAP;2055
0022/19;Digestive tract disorders;5;Oral cavity disorders;34;Hypersalivation;182;Drooling;292
0023/19;Application site disorders;1;Application site reactions;1;Application site pruritus;14;Application site scratching;26
0023/19;Application site disorders;1;Application site reactions;1;Application site hair change;2;Application site alopecia;2
0024/19;Systemic disorders;19;General signs or symptoms;154;Malaise;608;Malaise;1027
0024/19;Systemic disorders;19;General signs or symptoms;154;Anorexia;598;Inappetence;999
0024/19;Digestive tract disorders;5;Stomach disorders;38;Emesis;211;Vomiting;334
0024/19;Systemic disorders;19;General signs or symptoms;154;Lethargy;606;Lethargy (see also Central nervous system depression in 'Neurological');1018
