ADRNo;AnimalClass;AnimalSpecies;AnimalRole;ProductionType;AnimalSex;FemaleStatus;AnimalBreed;AnimalAge;AgeUnit;AgeType;MinimumAge;MaximumAge;AnimalWeight;WeightType;MinimumWeight;MaximumWeight;ParentOfCrossbreed;ClassCode;SpeciesCode;BreedCode
0001/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;3.0;Month;Exact;;;;Unknown;;;;;CanDo;
0002/19;Canidae;Canine/dog;Companion;;Female;Unknown;;1.0;Year;Approximate;;;9.6;Exact;;;;;CanDo;
0004/19;Canidae;Canine/dog;Companion;;Female-Neutered;;Crossbred;2.19;Year;;;;7.3;;;;;Can;CanDo;CanDo070
0005/19;Canidae;Canine/dog;Companion;;Female;Unknown;;9.0;Year;Exact;;;12.6;Exact;;;;;CanDo;
0006/19;Felidae;Feline/cat;Companion;;Male;;Domestic Shorthair;7;Month;;;;2;;;;;Fel;FelCa;FelCaxxx
0007/19;Bovinae;Bovine/cattle;Production;;Male;;Unspecified;9;Month;Exact;;;;Unknown;;;;;BovCa;Uns000
0008/19;Felidae;Feline/cat;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0009/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
0010/19;Canidae;Canine/dog;Companion;;Male;;;5.0;Month;Exact;;;11.0;Exact;;;;;CanDo;
0011/19;Equidae;Equine/horse;Companion;;Male;;;8.0;Year;Exact;;;;Unknown;;;;;EquHo;
0012/19;Felidae;Feline/cat;Companion;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0013/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;6.2;Year;Exact;;;18.3;Exact;;;;;CanDo;
0014/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;18.0;Year;Exact;;;450.0;Exact;;;;;EquHo;
0015/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;2.5;Year;Exact;;;5.6;Exact;;;;;FelCa;
0016/19;Canidae;Canine/dog;Companion;;Unknown;;;8.0;Year;Exact;;;;Unknown;;;;;CanDo;
0017/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;10.0;Year;Exact;;;12.3;Exact;;;;;CanDo;
0018/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;8.4;Year;Exact;;;5.0;Exact;;;;;FelCa;
0019/19;Equidae;Equine/horse;Companion;;Female;Unknown;;7.9;Year;Exact;;;;Unknown;;;;;EquHo;
0020/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;13.0;Year;Exact;;;10.2;Exact;;;;;CanDo;
0021/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;12.0;Year;Exact;;;11.0;Exact;;;;;CanDo;
0022/19;Canidae;Canine/dog;Companion;;Male;;;10.0;Year;Exact;;;30.0;Exact;;;;;CanDo;
0023/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;5.3;Year;Exact;;;4.76;Exact;;;;;FelCa;
0024/19;Felidae;Feline/cat;Companion;;Female-Neutered;Not applicable;;2.8;Year;Exact;;;2.61;Exact;;;;;FelCa;
0025/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;12.5;Year;Exact;;;;Unknown;;;;;CanDo;
0026/19;Canidae;Canine/dog;Companion;;Male;;;18.0;Month;Exact;;;30.0;Exact;;;;;CanDo;
0027/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;7.0;Year;Exact;;;20.0;Exact;;;;;CanDo;
0028/19;Felidae;Feline/cat;Companion;;Female;Unknown;;;;Unknown;;;;Unknown;;;;;FelCa;
0029/19;Equidae;Equine/horse;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;EquHo;
0030/19;Felidae;Feline/cat;;;Female-Neutered;Not applicable;;16.0;Year;Approximate;;;;Approximate;4.35;4.5;;;FelCa;
0031/19;Equidae;Equine/horse;Companion;;Female;Unknown;;14.0;Year;Exact;;;;Unknown;;;;;EquHo;
0032/19;Aves;Chicken;Production;;Female;Unknown;;;Day;Approximate;28;32;;Unknown;;;;;AveCh;
0033/19;Felidae;Feline/cat;Companion;;Male-Neutered;;;1.0;Year;Exact;;;;Exact;3.4;4.57;;;FelCa;
0034/19;Canidae;Canine/dog;Companion;;Male-Neutered;;;3.0;Year;Exact;;;14.2;Exact;;;;;CanDo;
0035/19;Canidae;Canine/dog;Companion;;Female;Non-pregnant - Non-lactating;;11.0;Year;Exact;;;34.8;Exact;;;;;CanDo;
0036/19;Canidae;Canine/dog;Companion;;Female;Unknown;;3.0;Year;Exact;;;14.0;Exact;;;;;CanDo;
0037/19;Canidae;Canine/dog;Companion;;Female-Neutered;Not applicable;;11.0;Year;Exact;;;12.5;Exact;;;;;CanDo;
0038/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;7.0;Year;Exact;;;;Unknown;;;;;EquHo;
0039/19;Canidae;Canine/dog;Companion;;Unknown;Unknown;;;;Unknown;;;;Unknown;;;;;CanDo;
0040/19;Leporidae;European rabbit;;;Female;Unknown;Unspecified;;;Unknown;;;;Unknown;;;;;LepRa;Uns000
0041/19;Canidae;Canine/dog;Companion;;Female;Unknown;;6.0;Year;Exact;;;4.0;Exact;;;;;CanDo;
0042/19;Felidae;Feline/cat;Companion;;Female;Non-pregnant - Non-lactating;;3.0;Month;Approximate;;;1.06;Exact;;;;;FelCa;
0043/19;Canidae;Canine/dog;Companion;;Female;Unknown;;7.0;Year;Exact;;;16.0;Exact;;;;;CanDo;
0044/19;Felidae;Feline/cat;Companion;;Male;;;3.0;Month;Exact;;;;Unknown;;;;;FelCa;
0045/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;9.0;Year;Exact;;;;Unknown;;;;;EquHo;
0046/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;24.0;Year;Exact;;;;Unknown;;;;;EquHo;
0047/19;Equidae;Equine/horse;Companion;;Male;;;;;Unknown;;;;Unknown;;;;;EquHo;
0048/19;Equidae;Equine/horse;Companion;;Male-Neutered;;;13.0;Year;Exact;;;;Unknown;;;;;EquHo;
