"ADRNo","SARType","IncidentDate","Received","IncidentType","Serious","SARDay","SARMonth","SARYear","ReportType","PrimarySourceCountry","OccurCountry"
"0087/19","Animal","1/3/2019","1/4/2019","Safety issue","N","03","01","2019","Spontaneous and expedited","GB","GB"
"0088/19","Animal","1/3/2019","1/4/2019","Safety issue","N","03","01","2019","Spontaneous and expedited","GB","GB"
"0089/19","Animal","1/3/2019","1/4/2019","Safety issue","N","03","01","2019","Spontaneous and expedited","GB","GB"
"0090/19","Animal","12/22/2018","1/4/2019","Safety Issue","Y","22","12","2018","Spontaneous and expedited","GB","GB"
"0091/19","Animal","12/14/2018","1/4/2019","Safety issue","N","14","12","2018","Spontaneous and expedited","GB","GB"
"0092/19","Animal","12/26/2018","1/4/2019","Safety issue","N","30","12","2018","Spontaneous and expedited","GB","GB"
"0093/19","Animal","12/22/2018","1/4/2019","Lack of expected efficacy","N","22","12","2018","Spontaneous and expedited","GB","GB"
"0094/19","Animal","11/29/2018","1/4/2019","Safety issue","N","29","11","2018","Spontaneous and expedited","GB","GB"
"0095/19","Animal","7/1/2018","1/5/2019","Safety issue","N","01","07","2018","Spontaneous and expedited","GB","GB"
"0096/19","Animal","12/16/2018","1/7/2019","Safety issue","N","16","12","2018","Spontaneous and expedited","GB","GB"
"0097/19","Animal","1/1/2019","1/7/2019","Safety Issue","N","01","01","2019","Spontaneous and expedited","GB","GB"
"0098/19","Animal","11/6/2018","1/7/2019","Safety issue","N","06","11","2018","Spontaneous and expedited","GB","GB"
"0099/19","Animal","12/24/2018","1/7/2019","Safety issue","Y","24","12","2018","Spontaneous and expedited","GB","GB"
"0100/19","Animal","1/3/2019","1/7/2019","Safety issue","N","04","01","2019","Spontaneous and expedited","GB","GB"
"0101/19","Animal","11/16/2015","1/7/2019","Lack of expected efficacy","N","16","11","2015","Spontaneous and expedited","GB","GB"
"0102/19","Animal","12/12/2018","1/7/2019","Safety issue","N","12","12","2018","Spontaneous and expedited","GB","GB"
"0103/19","Animal","11/1/2016","1/8/2019","Safety issue","N","01","11","2016","Spontaneous and expedited","GB","GB"
"0104/19","Animal","1/6/2019","1/8/2019","Safety issue","N","06","01","2019","Spontaneous and expedited","GB","GB"
"0105/19","Animal","1/7/2019","1/8/2019","Safety issue","N","07","01","2019","Spontaneous and expedited","GB","GB"
"0106/19","Animal","12/16/2018","1/8/2019","Safety Issue","Y","16","12","2018","Spontaneous and expedited","GB","GB"
"0107/19","Animal","12/5/2018","1/8/2019","Safety Issue","Y","05","12","2018","Spontaneous and expedited","GB","GB"
"0108/19","Animal","6/1/2013","1/8/2019","Safety Issue","N","","06","2013","Spontaneous and expedited","GB","GB"
"0109/19","Animal","7/6/2013","1/8/2019","Safety Issue","N","06","07","2013","Spontaneous and expedited","GB","GB"
"0110/19","Animal","3/13/2013","1/8/2019","Safety Issue","N","13","03","2013","Spontaneous and expedited","GB","GB"
"0111/19","Animal","12/1/2012","1/8/2019","Safety Issue","N","","12","2012","Spontaneous and expedited","GB","GB"
"0112/19","Animal","9/1/2012","1/8/2019","Safety Issue","N","","09","2012","Spontaneous and expedited","GB","GB"
"0113/19","Animal","8/1/2013","1/8/2019","Safety Issue","N","","08","2013","Spontaneous and expedited","GB","GB"
"0114/19","Animal","6/14/2013","1/8/2019","Safety Issue","N","14","06","2013","Spontaneous and expedited","GB","GB"
"0115/19","Animal","6/19/2013","1/8/2019","Safety Issue","N","19","06","2013","Spontaneous and expedited","GB","GB"
"0116/19","Animal","5/21/2013","1/8/2019","Safety Issue","N","21","05","2013","Spontaneous and expedited","GB","GB"
"0117/19","Animal","6/16/2013","1/8/2019","Safety Issue","N","16","06","2013","Spontaneous and expedited","GB","GB"
"0118/19","Animal","3/21/2013","1/8/2019","Safety Issue","Y","21","03","2013","Spontaneous and expedited","GB","GB"
"0119/19","Animal","7/12/2013","1/8/2019","Safety Issue","N","12","07","2013","Spontaneous and expedited","GB","GB"
"0120/19","Animal","9/2/2013","1/8/2019","Safety Issue","N","02","09","2013","Spontaneous and expedited","GB","GB"
"0121/19","Animal","2/13/2013","1/8/2019","Safety Issue","N","13","02","2013","Spontaneous and expedited","GB","GB"
